# [v2] word=geschenkcheques mask=(0, 3, 7, 9, 11, 12, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 9, 11, 12, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 1003521 in band
    [enum] 100M nodes, 4907503 in band
    [enum] 150M nodes, 6576283 in band
# 6706022 combos in band (capped=False), collected 6706022; enum 2723s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 6706022 to test
  ... 17200/6706022 tested (9.06/s, ~205.2h left); undecided=0
  ... 17400/6706022 tested (9.02/s, ~206.0h left); undecided=0
  ... 17600/6706022 tested (9.03/s, ~205.7h left); undecided=0
  ... 17800/6706022 tested (9.07/s, ~204.8h left); undecided=0
  ... 18000/6706022 tested (9.11/s, ~203.9h left); undecided=0
  ... 18200/6706022 tested (9.12/s, ~203.7h left); undecided=0
  ... 18400/6706022 tested (9.14/s, ~203.2h left); undecided=0
  ... 18600/6706022 tested (9.18/s, ~202.3h left); undecided=0
  ... 18800/6706022 tested (9.21/s, ~201.6h left); undecided=0
  ... 19000/6706022 tested (9.21/s, ~201.8h left); undecided=0
  ... 19200/6706022 tested (9.18/s, ~202.4h left); undecided=0
  ... 19400/6706022 tested (9.16/s, ~202.8h left); undecided=0
  ... 19600/6706022 tested (9.15/s, ~203.0h left); undecided=0
  ... 19800/6706022 tested (9.15/s, ~203.0h left); undecided=0
  ... 20000/6706022 tested (9.15/s, ~202.9h left); undecided=0
  ... 20200/6706022 tested (9.17/s, ~202.6h left); undecided=0
  ... 20400/6706022 tested (9.18/s, ~202.3h left); undecided=0
  ... 20600/6706022 tested (9.19/s, ~202.1h left); undecided=0
  ... 20800/6706022 tested (9.17/s, ~202.4h left); undecided=0
  ... 21000/6706022 tested (9.19/s, ~202.1h left); undecided=0
  ... 21200/6706022 tested (9.21/s, ~201.7h left); undecided=0
  ... 21400/6706022 tested (9.19/s, ~202.0h left); undecided=0
  ... 21600/6706022 tested (9.20/s, ~201.9h left); undecided=0
  ... 21800/6706022 tested (9.20/s, ~201.8h left); undecided=0
  ... 22000/6706022 tested (9.23/s, ~201.1h left); undecided=0
  ... 22200/6706022 tested (9.26/s, ~200.5h left); undecided=0
  ... 22400/6706022 tested (9.29/s, ~199.9h left); undecided=0
  ... 22600/6706022 tested (9.32/s, ~199.2h left); undecided=0
  ... 22800/6706022 tested (9.35/s, ~198.6h left); undecided=0
  ... 23000/6706022 tested (9.38/s, ~198.0h left); undecided=0
  ... 23200/6706022 tested (9.39/s, ~197.6h left); undecided=0
  ... 23400/6706022 tested (9.41/s, ~197.2h left); undecided=0
  ... 23600/6706022 tested (9.42/s, ~197.0h left); undecided=0
  ... 23800/6706022 tested (9.42/s, ~196.9h left); undecided=0
  ... 24000/6706022 tested (9.43/s, ~196.8h left); undecided=0
  ... 24200/6706022 tested (9.43/s, ~196.8h left); undecided=0
  ... 24400/6706022 tested (9.41/s, ~197.3h left); undecided=0
  ... 24600/6706022 tested (9.38/s, ~197.8h left); undecided=0
  ... 24800/6706022 tested (9.39/s, ~197.7h left); undecided=0
  ... 25000/6706022 tested (9.39/s, ~197.6h left); undecided=0
  ... 25200/6706022 tested (9.37/s, ~198.0h left); undecided=0
  ... 25400/6706022 tested (9.35/s, ~198.5h left); undecided=0
  ... 25600/6706022 tested (9.33/s, ~198.9h left); undecided=0
  ... 25800/6706022 tested (9.31/s, ~199.4h left); undecided=0
  ... 26000/6706022 tested (9.30/s, ~199.5h left); undecided=0
  ... 26200/6706022 tested (9.32/s, ~199.2h left); undecided=0
  ... 26400/6706022 tested (9.34/s, ~198.7h left); undecided=0
  ... 26600/6706022 tested (9.34/s, ~198.7h left); undecided=0
