# [v2] word=geschenkcheques mask=(0, 3, 7, 8, 11, 13, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 8, 11, 13, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 3007998 in band
# 3063175 combos in band (capped=False), collected 3063175; enum 517s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 3063175 to test
# engine=pinbatch base=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/base_0_3_7_8_11_13_14.txt PINWALL=5s audit=1/1000
  ... 17000/3063175 tested (1182.50/s, ~0.7h left); undecided=0
  ... 17200/3063175 tested (1196.26/s, ~0.7h left); undecided=0
  ... 17400/3063175 tested (1210.02/s, ~0.7h left); undecided=0
  ... 17600/3063175 tested (1223.76/s, ~0.7h left); undecided=0
  ... 17800/3063175 tested (1237.50/s, ~0.7h left); undecided=0
  ... 18000/3063175 tested (1251.24/s, ~0.7h left); undecided=0
  ... 18200/3063175 tested (1265.00/s, ~0.7h left); undecided=0
  ... 18400/3063175 tested (1278.72/s, ~0.7h left); undecided=0
  ... 18600/3063175 tested (1292.45/s, ~0.7h left); undecided=0
  ... 18800/3063175 tested (1306.18/s, ~0.6h left); undecided=0
  ... 19000/3063175 tested (1319.92/s, ~0.6h left); undecided=0
  ... 19200/3063175 tested (1331.41/s, ~0.6h left); undecided=0
  ... 19400/3063175 tested (1343.85/s, ~0.6h left); undecided=0
  ... 19600/3063175 tested (1356.93/s, ~0.6h left); undecided=0
  ... 19800/3063175 tested (941.13/s, ~0.9h left); undecided=0
  ... 20000/3063175 tested (950.12/s, ~0.9h left); undecided=0
  ... 20200/3063175 tested (959.09/s, ~0.9h left); undecided=0
  ... 20400/3063175 tested (968.07/s, ~0.9h left); undecided=0
  ... 20600/3063175 tested (977.18/s, ~0.9h left); undecided=0
  ... 20800/3063175 tested (967.75/s, ~0.9h left); undecided=0
  ... 21000/3063175 tested (976.60/s, ~0.9h left); undecided=0
  ... 21200/3063175 tested (985.47/s, ~0.9h left); undecided=0
  ... 21400/3063175 tested (993.87/s, ~0.9h left); undecided=0
  ... 21600/3063175 tested (1002.57/s, ~0.8h left); undecided=0
  ... 21800/3063175 tested (995.93/s, ~0.8h left); undecided=0
  ... 22000/3063175 tested (1004.18/s, ~0.8h left); undecided=0
  ... 22200/3063175 tested (1012.89/s, ~0.8h left); undecided=0
  ... 22400/3063175 tested (1021.42/s, ~0.8h left); undecided=0
  ... 22600/3063175 tested (1029.89/s, ~0.8h left); undecided=0
  ... 22800/3063175 tested (1031.57/s, ~0.8h left); undecided=0
  ... 23000/3063175 tested (1039.97/s, ~0.8h left); undecided=0
  ... 23200/3063175 tested (1048.50/s, ~0.8h left); undecided=0
  ... 23400/3063175 tested (1056.86/s, ~0.8h left); undecided=0
  ... 23600/3063175 tested (1065.23/s, ~0.8h left); undecided=0
  ... 23800/3063175 tested (1061.43/s, ~0.8h left); undecided=0
  ... 24000/3063175 tested (1069.86/s, ~0.8h left); undecided=0
  ... 24200/3063175 tested (1078.02/s, ~0.8h left); undecided=0
  ... 24400/3063175 tested (1086.46/s, ~0.8h left); undecided=0
  ... 24600/3063175 tested (1094.75/s, ~0.8h left); undecided=0
  ... 24800/3063175 tested (1092.22/s, ~0.8h left); undecided=0
  ... 25000/3063175 tested (1100.42/s, ~0.8h left); undecided=0
  ... 25200/3063175 tested (1108.67/s, ~0.8h left); undecided=0
  ... 25400/3063175 tested (1116.86/s, ~0.8h left); undecided=0
  ... 25600/3063175 tested (1125.03/s, ~0.8h left); undecided=0
  ... 25800/3063175 tested (1126.66/s, ~0.7h left); undecided=0
  ... 26000/3063175 tested (1134.80/s, ~0.7h left); undecided=0
  ... 26200/3063175 tested (1142.92/s, ~0.7h left); undecided=0
  ... 26400/3063175 tested (1150.88/s, ~0.7h left); undecided=0
  ... 26600/3063175 tested (1159.03/s, ~0.7h left); undecided=0
  ... 26800/3063175 tested (1148.35/s, ~0.7h left); undecided=0
  ... 27000/3063175 tested (1156.70/s, ~0.7h left); undecided=0
  ... 27200/3063175 tested (1164.95/s, ~0.7h left); undecided=0
  ... 27400/3063175 tested (1173.21/s, ~0.7h left); undecided=0
  ... 27600/3063175 tested (1181.47/s, ~0.7h left); undecided=0
  ... 27800/3063175 tested (1189.69/s, ~0.7h left); undecided=0
  ... 28000/3063175 tested (1198.14/s, ~0.7h left); undecided=0
  ... 28200/3063175 tested (1206.56/s, ~0.7h left); undecided=0
  ... 28400/3063175 tested (1214.95/s, ~0.7h left); undecided=0
  ... 28600/3063175 tested (1223.36/s, ~0.7h left); undecided=0
  ... 28800/3063175 tested (1231.75/s, ~0.7h left); undecided=0
  ... 29000/3063175 tested (1240.12/s, ~0.7h left); undecided=0
  ... 29200/3063175 tested (1248.56/s, ~0.7h left); undecided=0
  ... 29400/3063175 tested (1256.99/s, ~0.7h left); undecided=0
  ... 29600/3063175 tested (1265.37/s, ~0.7h left); undecided=0
  ... 29800/3063175 tested (1273.75/s, ~0.7h left); undecided=0
  ... 30000/3063175 tested (1281.95/s, ~0.7h left); undecided=0
  ... 30200/3063175 tested (1290.12/s, ~0.7h left); undecided=0
  ... 30400/3063175 tested (1298.26/s, ~0.6h left); undecided=0
  ... 30600/3063175 tested (1306.41/s, ~0.6h left); undecided=0
  ... 30800/3063175 tested (1314.62/s, ~0.6h left); undecided=0
  ... 31000/3063175 tested (1322.86/s, ~0.6h left); undecided=0
  ... 31200/3063175 tested (1331.16/s, ~0.6h left); undecided=0
  ... 31400/3063175 tested (1339.39/s, ~0.6h left); undecided=0
  ... 31600/3063175 tested (1347.80/s, ~0.6h left); undecided=0
  ... 31800/3063175 tested (1356.09/s, ~0.6h left); undecided=0
  ... 32000/3063175 tested (1364.27/s, ~0.6h left); undecided=0
  ... 32200/3063175 tested (1372.37/s, ~0.6h left); undecided=0
  ... 32400/3063175 tested (1380.60/s, ~0.6h left); undecided=0
