[06:18:11] === STREAM CERTIFY mask=(0, 3, 7, 9, 11, 13, 14) lb=2010 vfloor=286 shards=20 dir=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/stream_0379111314_lb2010
[06:39:31]   enum: 20M streamed (15624/s)
[07:02:35]   enum: 40M streamed (15016/s)
[07:16:18]   enum: 60M streamed (17206/s)
[07:24:05]   enum: 80M streamed (20236/s)
[07:34:51]   enum: 100M streamed (21739/s)
[07:42:46]   enum: 120M streamed (23645/s)
[07:51:16]   enum: 140M streamed (25069/s)
[07:59:44]   enum: 160M streamed (26261/s)
[08:17:38]   enum: 180M streamed (25115/s)
[08:26:51]   enum: 200M streamed (25908/s)
[08:36:28]   enum: 220M streamed (26517/s)
[08:48:54]   enum: 240M streamed (26540/s)
[09:01:15]   enum: 260M streamed (26573/s)
[09:18:16]   enum: 280M streamed (25913/s)
[09:22:49] enum DONE: count=282299680 streamed=282299680 capped=False
[09:22:49] launched 20 pinbatch shard workers (PINWALL=5s)
[10:44:56]   solve: 67919748/282299680 (13785/s, ~4.3h left)
[10:46:01]   solve: 68116498/282299680 (13646/s, ~4.4h left)
[10:47:05]   solve: 68233175/282299680 (13495/s, ~4.4h left)
[10:48:10]   solve: 68714009/282299680 (13419/s, ~4.4h left)
[10:49:14]   solve: 68769319/282299680 (13263/s, ~4.5h left)
[10:50:20]   solve: 69054537/282299680 (13153/s, ~4.5h left)
[10:51:23]   solve: 69575727/282299680 (13092/s, ~4.5h left)
[10:52:28]   solve: 69821429/282299680 (12982/s, ~4.5h left)
[10:53:32]   solve: 70124082/282299680 (12883/s, ~4.6h left)
[10:54:37]   solve: 70650077/282299680 (12828/s, ~4.6h left)
[10:55:41]   solve: 71136836/282299680 (12767/s, ~4.6h left)
[10:56:46]   solve: 71607017/282299680 (12704/s, ~4.6h left)
[10:57:50]   solve: 72165256/282299680 (12658/s, ~4.6h left)
[10:58:55]   solve: 72903266/282299680 (12644/s, ~4.6h left)
[11:00:00]   solve: 73361390/282299680 (12583/s, ~4.6h left)
[11:01:05]   solve: 73629126/282299680 (12490/s, ~4.6h left)
[11:02:09]   solve: 73781430/282299680 (12380/s, ~4.7h left)
[11:03:13]   solve: 73903275/282299680 (12268/s, ~4.7h left)
[11:04:18]   solve: 74100800/282299680 (12170/s, ~4.8h left)
[11:05:24]   solve: 74305668/282299680 (12074/s, ~4.8h left)
[11:06:29]   solve: 74530476/282299680 (11984/s, ~4.8h left)
[11:07:33]   solve: 74781576/282299680 (11901/s, ~4.8h left)
[11:08:38]   solve: 75120899/282299680 (11833/s, ~4.9h left)
[11:09:43]   solve: 75359091/282299680 (11749/s, ~4.9h left)
[11:10:48]   solve: 75597335/282299680 (11668/s, ~4.9h left)
[11:11:53]   solve: 75991421/282299680 (11613/s, ~4.9h left)
[11:12:58]   solve: 76402609/282299680 (11561/s, ~4.9h left)
[11:14:03]   solve: 76805199/282299680 (11508/s, ~5.0h left)
[11:15:08]   solve: 77373242/282299680 (11482/s, ~5.0h left)
[11:16:13]   solve: 78010779/282299680 (11466/s, ~4.9h left)
[11:17:18]   solve: 78564945/282299680 (11438/s, ~4.9h left)
[11:18:23]   solve: 79060584/282299680 (11402/s, ~5.0h left)
[11:19:28]   solve: 79432909/282299680 (11349/s, ~5.0h left)
[11:20:33]   solve: 79741718/282299680 (11289/s, ~5.0h left)
[11:21:38]   solve: 79939499/282299680 (11213/s, ~5.0h left)
[11:22:44]   solve: 80071012/282299680 (11129/s, ~5.0h left)
[11:23:50]   solve: 80135487/282299680 (11038/s, ~5.1h left)
[11:24:54]   solve: 80189680/282299680 (10948/s, ~5.1h left)
[11:25:59]   solve: 80241615/282299680 (10859/s, ~5.2h left)
[11:27:04]   solve: 80312842/282299680 (10774/s, ~5.2h left)
[11:28:09]   solve: 80390666/282299680 (10691/s, ~5.2h left)
[11:29:14]   solve: 80512723/282299680 (10615/s, ~5.3h left)
[11:30:19]   solve: 80687826/282299680 (10547/s, ~5.3h left)
[11:31:24]   solve: 80879762/282299680 (10484/s, ~5.3h left)
[11:32:29]   solve: 81065854/282299680 (10420/s, ~5.4h left)
[11:33:34]   solve: 81268413/282299680 (10359/s, ~5.4h left)
[11:34:39]   solve: 81459784/282299680 (10298/s, ~5.4h left)
[11:35:45]   solve: 81661621/282299680 (10239/s, ~5.4h left)
[11:36:50]   solve: 81796468/282299680 (10173/s, ~5.5h left)
[11:37:55]   solve: 81908664/282299680 (10106/s, ~5.5h left)
[11:39:00]   solve: 82063564/282299680 (10044/s, ~5.5h left)
[11:40:04]   solve: 82334348/282299680 (9998/s, ~5.6h left)
[11:41:10]   solve: 82532192/282299680 (9943/s, ~5.6h left)
[11:42:15]   solve: 82822355/282299680 (9900/s, ~5.6h left)
[11:43:21]   solve: 83289539/282299680 (9878/s, ~5.6h left)
[11:44:27]   solve: 83589569/282299680 (9837/s, ~5.6h left)
[11:45:32]   solve: 83969428/282299680 (9807/s, ~5.6h left)
[11:46:37]   solve: 84241946/282299680 (9764/s, ~5.6h left)
[11:47:43]   solve: 84832191/282299680 (9758/s, ~5.6h left)
[11:48:49]   solve: 85251837/282299680 (9733/s, ~5.6h left)
[11:49:54]   solve: 85526088/282299680 (9692/s, ~5.6h left)
[11:51:00]   solve: 85857891/282299680 (9658/s, ~5.7h left)
[11:52:05]   solve: 86193595/282299680 (9624/s, ~5.7h left)
[11:53:11]   solve: 86490624/282299680 (9587/s, ~5.7h left)
[11:54:17]   solve: 86762682/282299680 (9547/s, ~5.7h left)
[11:55:23]   solve: 87224804/282299680 (9529/s, ~5.7h left)
[11:56:29]   solve: 87508239/282299680 (9492/s, ~5.7h left)
[11:57:34]   solve: 87842676/282299680 (9461/s, ~5.7h left)
[11:58:41]   solve: 88279168/282299680 (9440/s, ~5.7h left)
[11:59:47]   solve: 88671308/282299680 (9415/s, ~5.7h left)
[12:00:53]   solve: 88996561/282299680 (9385/s, ~5.7h left)
[12:01:58]   solve: 89460365/282299680 (9369/s, ~5.7h left)
[12:03:04]   solve: 89980049/282299680 (9359/s, ~5.7h left)
[12:04:10]   solve: 90474222/282299680 (9346/s, ~5.7h left)
[12:05:16]   solve: 90921657/282299680 (9329/s, ~5.7h left)
[12:06:22]   solve: 91466359/282299680 (9321/s, ~5.7h left)
[12:07:28]   solve: 91910672/282299680 (9303/s, ~5.7h left)
[12:08:34]   solve: 92358232/282299680 (9287/s, ~5.7h left)
[12:09:40]   solve: 92823575/282299680 (9272/s, ~5.7h left)
[12:10:46]   solve: 93258516/282299680 (9255/s, ~5.7h left)
[12:11:53]   solve: 93753334/282299680 (9243/s, ~5.7h left)
[12:13:00]   solve: 94266067/282299680 (9233/s, ~5.7h left)
[12:14:06]   solve: 94766332/282299680 (9222/s, ~5.6h left)
[12:15:12]   solve: 95169858/282299680 (9201/s, ~5.6h left)
[12:16:19]   solve: 95530975/282299680 (9177/s, ~5.7h left)
[12:17:25]   solve: 95847015/282299680 (9149/s, ~5.7h left)
[12:18:32]   solve: 96132091/282299680 (9119/s, ~5.7h left)
[12:19:38]   solve: 96342603/282299680 (9081/s, ~5.7h left)
[12:20:44]   solve: 96515295/282299680 (9041/s, ~5.7h left)
[12:21:51]   solve: 96666251/282299680 (8999/s, ~5.7h left)
[12:22:58]   solve: 96824759/282299680 (8958/s, ~5.8h left)
[12:24:04]   solve: 96904629/282299680 (8911/s, ~5.8h left)
[12:25:10]   solve: 97017966/282299680 (8868/s, ~5.8h left)
[12:26:16]   solve: 97166155/282299680 (8828/s, ~5.8h left)
[12:27:23]   solve: 97295616/282299680 (8786/s, ~5.8h left)
[12:28:29]   solve: 97451371/282299680 (8748/s, ~5.9h left)
[12:29:36]   solve: 97584627/282299680 (8708/s, ~5.9h left)
[12:30:42]   solve: 97794055/282299680 (8675/s, ~5.9h left)
[12:31:49]   solve: 98022048/282299680 (8644/s, ~5.9h left)
[12:32:55]   solve: 98248045/282299680 (8614/s, ~5.9h left)
[12:34:01]   solve: 98519614/282299680 (8588/s, ~5.9h left)
[12:35:07]   solve: 98800198/282299680 (8563/s, ~6.0h left)
[12:36:14]   solve: 99110220/282299680 (8541/s, ~6.0h left)
[12:37:21]   solve: 99441048/282299680 (8520/s, ~6.0h left)
[12:38:27]   solve: 99869677/282299680 (8508/s, ~6.0h left)
[12:39:33]   solve: 100353598/282299680 (8502/s, ~5.9h left)
[12:40:39]   solve: 100734436/282299680 (8486/s, ~5.9h left)
[12:41:46]   solve: 101208416/282299680 (8479/s, ~5.9h left)
[12:42:52]   solve: 101662650/282299680 (8470/s, ~5.9h left)
[12:43:59]   solve: 102372734/282299680 (8482/s, ~5.9h left)
[12:45:06]   solve: 103133165/282299680 (8498/s, ~5.9h left)
[12:46:14]   solve: 105006164/282299680 (8604/s, ~5.7h left)
[12:47:20]   solve: 105878662/282299680 (8628/s, ~5.7h left)
[12:48:26]   solve: 107134699/282299680 (8684/s, ~5.6h left)
[12:49:34]   solve: 108071653/282299680 (8712/s, ~5.6h left)
[12:50:42]   solve: 108963026/282299680 (8736/s, ~5.5h left)
[12:51:49]   solve: 109905140/282299680 (8765/s, ~5.5h left)
[12:52:57]   solve: 110615505/282299680 (8774/s, ~5.4h left)
